Keep,id,Q10_cc_understanding,Q10_cc_understanding_11_TEXT,Q19_aware_nonEnglish,Q20_often_request,Q21_diff_library,Q23_language_request,Q23_language_request_11_TEXT,Q24_topic_request,Q24_topic_request_8_TEXT2,Q26_share_nonEngbook,Q26_share_nonEngbook_7_TEXT,Q29_share_Engbooks,Q29_share_Engbooks_7_TEXT
1,25,Spanish,,No - Many families do not seem to know non-English language books are available,Sometimes,Never or rarely,"Japanese,Persian,Spanish,Vietnamese",,"Animals,Daily routines (e.g., bedtime, going to the bathroom)",,Learn about their own culture which uses the non-English language,,"Learn about their own culture through the topic/subject matter, even though the book is in English,Help themselves get exposed to English",
1,26,"English,Vietnamese",,Yes - Many families do seem to know non-English language books are available,Often,Sometimes,"Chinese,Hindi,Spanish,Tagalog,Vietnamese",,"Alphabet in the requested language,Animals,Family,Learning about their own culture,Vocabulary in the requested language",,"Help children get exposed to or learn the non-English language,Learn about other cultures through a new language,Learn about their own culture which uses the non-English language,Expose children to print in the non-English language,Help themselves get exposed to the non-English language",,"Help children get exposed to or learn English,Expose children to print in English,Help themselves get exposed to English",
1,27,English,,I'm not sure,Sometimes,I'm not sure,Spanish,,"Daily routines (e.g., bedtime, going to the bathroom),Everyday events (e.g., new sibling, birthday party),Family,Numbers",,"Help children get exposed to or learn the non-English language,Expose children to print in the non-English language",,"Help children get exposed to or learn English,Learn about other cultures through the topic/subject matter, even though the book is in English,Learn about their own culture through the topic/subject matter, even though the book is in English,Expose children to print in English,Help themselves get exposed to English",
1,28,English,,Yes - Many families do seem to know non-English language books are available,Never or rarely,Sometimes,"Chinese,English,Gujarati,Hindi,Persian,Spanish,Tagalog,Urdu,Vietnamese",,"Alphabet in the requested language,Body parts,Emotions,Everyday events (e.g., new sibling, birthday party),Family,Learning about their own culture,Numbers,Vocabulary in the requested language",,"Help children get exposed to or learn the non-English language,Learn about other cultures through a new language,Learn about their own culture which uses the non-English language",,"Help children get exposed to or learn English,Expose children to print in English,Help themselves get exposed to English",
1,29,"English,Other (please specify),Spanish",a little bit of spanish and french,Yes - Many families do seem to know non-English language books are available,Often,Sometimes,"Arabic,Chinese,French,German,Hindi,Japanese,Korean,Persian,Russian,Spanish,Tagalog,Vietnamese",,"Alphabet in the requested language,Animals,Family,Other (please specify),Learning about their own culture,Numbers,Vocabulary in the requested language",Any topic,"Help children get exposed to or learn the non-English language,Learn about their own culture which uses the non-English language,Expose children to print in the non-English language,Help themselves get exposed to the non-English language,Other (please elaborate)","Often, this is a bi-lingual household, and the parents are trying to keep the children's abilities up in both (or even 3) languages.  I had a parents with 2 small children, and they were attempting to keep them fluent in Hebrew, English, and French.  Frequently, they are trying to teach the family English, or Spanish, while keeping their native language, as well.","Help children get exposed to or learn English,Learn about their own culture through the topic/subject matter, even though the book is in English,Expose children to print in English,Help themselves get exposed to English,Other (please elaborate)","Especially as a child is approaching school age (about 5 or 6), the parents want to expose them to the language, and to what might happen at school, or to improve their understanding so that they can help explain to their kids what is going to happen.  for younger kids, the parents want them exposed to all of the languages, and to other kids, both fluent in English, and in other languages"
1,30,"English,French,Spanish",,Yes - Many families do seem to know non-English language books are available,Sometimes,Sometimes,Spanish,,Other (please specify),Not sure/Have not heard any requests,I'm not sure,,"Help children get exposed to or learn English,Expose children to print in English,Help themselves get exposed to English",
1,31,English,,I'm not sure,Never or rarely,I'm not sure,"Chinese,English,French",,"Learning about cultures different from their own,Vocabulary in the requested language",,I'm not sure,,I'm not sure,
1,32,English,,Yes - Many families do seem to know non-English language books are available,Often,Sometimes,"Bengali,Chinese,English,French,Gujarati,Other (please specify),Hindi,Khmer,Persian,Punjabi,Spanish,Tamil,Telugu",Braille,"Alphabet in the requested language,Animals,Daily routines (e.g., bedtime, going to the bathroom),Family,Other (please specify),Learning about cultures different from their own,Learning about their own culture,Social games in their own culture,Vocabulary in the requested language",Language is requested more than topic,"Help children get exposed to or learn the non-English language,Learn about other cultures through a new language,Learn about their own culture which uses the non-English language,Expose children to print in the non-English language,Help themselves get exposed to the non-English language",,"Help children get exposed to or learn English,Expose children to print in English,Help themselves get exposed to English",
1,33,English,,I'm not sure,Sometimes,I'm not sure,"Chinese,Spanish",,"Animals,Everyday events (e.g., new sibling, birthday party),Family",,"Help children get exposed to or learn the non-English language,Expose children to print in the non-English language",,"Help children get exposed to or learn English,Learn about other cultures through the topic/subject matter, even though the book is in English,Learn about their own culture through the topic/subject matter, even though the book is in English,Expose children to print in English",
1,34,"English,Vietnamese",,No - Many families do not seem to know non-English language books are available,Often,Sometimes,"Chinese,Hindi,Japanese,Korean,Russian,Vietnamese",,"Daily routines (e.g., bedtime, going to the bathroom),Everyday events (e.g., new sibling, birthday party),Learning about their own culture",,"Help children get exposed to or learn the non-English language,Learn about other cultures through a new language,Learn about their own culture which uses the non-English language,Expose children to print in the non-English language,Help themselves get exposed to the non-English language",,"Help children get exposed to or learn English,Learn about other cultures through the topic/subject matter, even though the book is in English,Learn about their own culture through the topic/subject matter, even though the book is in English,Expose children to print in English,Help themselves get exposed to English",
